title,authors,year,venue,category,tags,paper_url,project_url,code_url,dataset_url,code_status,real_robot,robot_platform,summary
CoorDex: Coordinating Body and Hand Priors for Continuous Dexterous Humanoid Loco-Manipulation,Sikai Li; Shuning Li; Zhenyu Wei; Yunchao Yao; Chenran Li; Mingyu Ding,2026,arXiv 2026.06,Whole-Body Control and Loco-Manipulation,"dexterous-humanoid, latent-priors, residual-control, Unitree-G1, WUJI-hand",https://arxiv.org/abs/2606.23680,https://skevinci.github.io/coordex/,https://github.com/Skevinci/CoorDex,,⭐ Code,yes,Unitree G1 + WUJI hand,Coordinates body and dexterous-hand latent priors with residual RL so a G1 can manipulate objects continuously while walking.
GMR: General Motion Retargeting (Retargeter for TWIST),Yanjie Ze et al.,2026 (arXiv 2025),ICRA 2026,Whole-Body Motion Tracking and Imitation,"retargeting, real-time, CPU, multi-robot",https://github.com/YanjieZe/GMR,https://github.com/YanjieZe/GMR,https://github.com/YanjieZe/GMR,,⭐ Code,yes,"Unitree H1, H1-2, G1, multi-robot",Real-time CPU motion retargeting library handling SMPL→multi-humanoid mapping with foot-sliding/penetration fixes.
GRAIL: Generating Humanoid Loco-Manipulation from 3D Assets and Video Priors,Tianyi Xie; Haotian Zhang; Jinhyung Park; Zi Wang; Bowen Wen; Jiefeng Li; Xueting Li; Qingwei Ben; Haoyang Weng; Yufei Ye; David Minor; Tingwu Wang,2026,arXiv 2026.06,Whole-Body Control and Loco-Manipulation,"data-generation, 3D-assets, video-priors, sim-to-real",https://arxiv.org/abs/2606.05160,https://research.nvidia.com/labs/dair/grail/,https://github.com/NVlabs/GRAIL,https://huggingface.co/datasets/nvidia/PhysicalAI-Robotics-Locomanipulation-GRAIL,⭐ Code,yes,humanoid,"Fully virtual generation pipeline composing 3D assets, simulator scenes, and video priors into robot-compatible loco-manipulation data."
HANDOFF: Humanoid Agentic Task-Space Whole-Body Control via Distilled Complementary Teachers,Lizhi Yang; Junheng Li; Nehar Poddar; Yiling Hou; Gio Huh; Robert Griffin; Georgia Gkioxari; Aaron Ames,2026,arXiv 2026.06,Whole-Body Control and Loco-Manipulation,"task-space-control, distilled-teachers, agentic-control, Unitree-G1",https://arxiv.org/abs/2606.06493,https://lzyang2000.github.io/HANDOFF/,https://github.com/lzyang2000/HANDOFF,,⭐ Code,yes,Unitree G1,Distills complementary teachers into a task-space whole-body command interface for diverse humanoid loco-manipulation skills.
Humanoid-GPT: Scaling Data and Structure for Zero-Shot Motion Tracking,Zekun Qi; Xuchuan Chen; Dairu Liu; Chenghuai Lin; Yunrui Lian; Sikai Liang; Zhikai Zhang; Yu Guan; Jilong Wang; Wenyao Zhang; Xinqiang Yu; He Wang,2026,CVPR 2026,Humanoid Foundation Models and Generalist Policies,"GPT-style-transformer, zero-shot-tracking, billion-frame-corpus, Unitree-G1",https://arxiv.org/abs/2606.03985,https://github.com/GalaxyGeneralRobotics/Humanoid-GPT,https://github.com/GalaxyGeneralRobotics/Humanoid-GPT,,⭐ Code,yes,Unitree G1 / humanoid,GPT-style causal Transformer trained on a two-billion-frame retargeted motion corpus for zero-shot whole-body tracking.
LIMMT: Less is More for Motion Tracking,Yu Guan; Zekun Qi; Chenghuai Lin; Xuchuan Chen; Dairu Liu; Wenyao Zhang; Jilong Wang; Xinqiang Yu; He Wang; Li Yi,2026,ICML 2026,Whole-Body Motion Tracking and Imitation,"data-centric, motion-quality, motion-tracking, humanoid",https://arxiv.org/abs/2606.06953,https://github.com/GalaxyGeneralRobotics/Humanoid-GPT,https://github.com/GalaxyGeneralRobotics/Humanoid-GPT,,⭐ Code,yes,Unitree G1 / humanoid,Data-centric motion-tracking study showing that carefully filtered high-quality motions can outperform much larger noisy corpora.
LooperMuscle: Fast and Stable Learning of Humanoid Whole-Body Tracking via Structured Mixture-of-Experts,Boyi Liu; Qijin Li; Tianqi Yu; Qinrui Yan; Xingxing Zuo,2026,arXiv 2026.08,Whole-Body Motion Tracking and Imitation,"whole-body-tracking, mixture-of-experts, FastSAC, sim2real",https://arxiv.org/abs/2608.00820,https://loopermuscle.github.io/,https://github.com/LooperMuscle/Code,,⭐ Code,yes,Holosoma runtime / humanoid,"Uses a structured mixture-of-experts actor, expert-aware distributional critic, and contribution-routed replay to close the FastSAC-versus-PPO tracking-quality gap."
M3imic: Learning a Versatile Whole-Body Controller for Multimodal Motion Mimicking,Zuxing Lu; Ziang Zheng; Yao Lyu; Jingyu Liu; Feihong Zhang; Song Lu; Xin Yuan; Changyin Sun; Xingxing Zuo; Shengbo Eben Li,2026,arXiv 2026.06,Whole-Body Motion Tracking and Imitation,"multimodal-tracking, joint-trajectory, end-effector, whole-body",https://arxiv.org/abs/2606.04829,https://github.com/Renforce-Dynamics/MultiModalWBC,https://github.com/Renforce-Dynamics/MultiModalWBC,,⭐ Code,yes,humanoid,"Open IsaacLab-based WBC framework unifying joint, root, and end-effector reference modalities for humanoid motion mimicking."
MOSAIC: Bridging the Sim-to-Real Gap in Generalist Humanoid Motion Tracking and Teleoperation with Rapid Residual Adaptation,BAAI Humanoid Team,2026,arXiv 2026.02,Whole-Body Motion Tracking and Imitation,"residual-adaptation, teleoperation, multi-source-data, sim2real",https://arxiv.org/abs/2602.08594,https://github.com/BAAI-Humanoid/MOSAIC,https://github.com/BAAI-Humanoid/MOSAIC,,⭐ Code,yes,humanoid,Trains a generalist tracker then rapidly adapts to specific teleop interfaces via additive residuals.
OASIS: From Simulation Data Collection to Real-World Humanoid Loco-Manipulation,Zehao Yu; Jiakun Zheng; Weiji Xie; Jiyuan Shi; Chenyun Zhang; Chenjia Bai; Xuelong Li,2026,arXiv 2026.06,Whole-Body Control and Loco-Manipulation,"simulation-data, teleoperation, data-collection, loco-manipulation",https://arxiv.org/abs/2606.08548,https://oasis-humanoid.github.io/,https://github.com/TeleHuman/OASIS,,⭐ Code,yes,Unitree G1 / humanoid,Open simulation-to-real data pipeline for humanoid loco-manipulation with embodiment-aligned demonstrations.
OMG: Omni-Modal Motion Generation for Generalist Humanoid Control,Siqiao Huang; Kun-Ying Lee; Dongming Qiao; Guanqi He; Zhenyu Wang; Yitang Li; Shaoting Zhu; Hang Zhao,2026,arXiv 2026.06,Humanoid Foundation Models and Generalist Policies,"omni-modal, motion-generation, generalist-control, Unitree-G1",https://arxiv.org/abs/2606.10340,https://tsinghua-mars-lab.github.io/OMG/,https://github.com/Tsinghua-MARS-Lab/OMG,,⭐ Code,yes,Unitree G1,Generalist humanoid control stack that places an omni-modal motion-generation brain above a reactive tracking controller.
PAC-MAN: Perception-Aware CBF-RL for Whole-Body Safety in Humanoid Dodgeball,Lizhi Yang; Junheng Li; Aaron D. Ames,2026,arXiv 2026.07,Whole-Body Control and Loco-Manipulation,"CBF-RL, whole-body-safety, perception-aware-control, Unitree-G1",https://arxiv.org/abs/2607.28623,https://lzyang2000.github.io/perceptive_cbf_rl/,https://github.com/lzyang2000/perceptive_cbf_rl,,⭐ Code,yes,Unitree G1,Couples control-barrier-function RL with onboard masked-depth perception so a G1 can dodge balls while maintaining whole-body link clearance.
